SN,author,year,location,country,TSI,Journal,study_design,Impact studied,impacted_entity,Impacted_system,mean_control,sd_control,ss_control,mean_invaded,sd_invaded,ss_invaded,,,,,,,,
188,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,5,1.39,12,0,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
189,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,9,7.97,12,0,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
190,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,8,0,12,0,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
191,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,162,10.74,12,126,2.09,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
192,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,32,0,12,18,1.39,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
193,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,33,2.09,12,13,3.46,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
194,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,33,2.09,12,13,2.42,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
195,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,9,1.04,12,4,1.39,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
196,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,9,2.42,12,4,0,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
197,Khan,2010,West Bengal,India,NA,Current Science,Before after,Bird abundance,Bird abundance,Birds,5,1.04,12,3,1.39,12,"Temporal changes to the abundance and community structure of migratory waterbirds in Santragachhi Lake, in West Bengal, and their relationship with water hyacinth.",,,,,,,
198,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,Turbidity,Turbidity,Water quality,16.89,0.85,15,29.75,0.29,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
199,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,pH,pH,Water quality,7.54,0.05,15,6.89,0.06,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
200,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,Phosphate,Phosphate,Water quality,2.42,0.2,15,2.86,0.23,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
201,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,Conductivity ,Conductivity,Water quality,258.5,3.98,15,297.6,2.41,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
202,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,Temperature ,Temperature,Water quality,29.32,0.51,15,31.18,0.04,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
203,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,11.21,1.03,15,6.84,1.02,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
204,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,Total suspended solids,Suspended solid,Water quality,15.93,1.08,15,86.32,3,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
205,Chapungu et al.,2018,Masvingo River,Zimbabwe,NA,Fortune,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,5.67,0.94,15,1.72,0.3,15,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes under dry climatic conditions: The case of Shagashe River in Masvingo, Zimbabwe",,,,,,,
206,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,pH,pH,Water quality,6.7,0.6,120,8.5,0.8,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
207,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,Conductivity ,Conductivity,Water quality,146.8,43.3,120,142.3,41.9,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
208,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,Turbidity,Turbidity,Water quality,66.3,60.4,120,48.1,6.2,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
209,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,Chemical oxygen demand,COD,Water quality,77.2,29.4,120,62.9,30.2,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
210,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,Phosphate,Phosphate,Water quality,3.7,1.2,120,1.4,0.8,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
211,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,Biological oxygen demand,BOD,Water quality,32.85,7.3,120,21.8,6.2,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
212,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,Temperature ,Temperature,Water quality,27,4.5,120,25.7,5.2,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
213,Kiyemba,2021,Lake Victoria,Uganda,NA,Thesis,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,6.9,0.7,120,8.6,0.9,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
214,Engdaw,2020,Lake Tana,Ethiopia,NA,Thesis,Observation,Transparency (m),Transparency,Water quality,0.43,0.3,120,0.6,0.3,120,Assessing the effects of water hyacinth on the physio-chemical water quality in murchison bay-lake Victoria Basin,,,,,,,
215,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Temperature ,Temperature,Water quality,26.7,1.09,25,23.9,0.97,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
216,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,pH,pH,Water quality,8.61,0.21,25,8.28,0.01,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
217,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Turbidity,Turbidity,Water quality,74,1.2,25,52,5.59,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
218,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Conductivity ,Conductivity,Water quality,123,1.67,25,58,2.23,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
219,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,7.9,0.23,25,3.31,0.69,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
220,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Phosphate,Phosphate,Water quality,0.16,0.16,25,0.27,0.65,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
221,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Soluble reactive phosphorus,Phosphate,Water quality,0.032,0.1,25,0.012,0.01,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
222,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Total nitrogen,Nitrogen,Water quality,1.7,1.51,25,2.82,2.3,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
223,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,1.1,0.12,25,0.8,0.23,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
224,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Temperature ,Temperature,Water quality,25.2,0.89,25,23.8,1.22,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
225,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,pH,pH,Water quality,8.67,0.23,25,8.35,0.1,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
226,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Turbidity,Turbidity,Water quality,82,0,25,62,4.32,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
227,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Conductivity ,Conductivity,Water quality,142,1.72,25,52,2.45,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
228,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,8.2,0.2,25,4.34,0.39,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
229,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Phosphate,Phosphate,Water quality,0.13,0.21,25,0.24,0.43,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
230,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Soluble reactive phosphorus,Phosphate,Water quality,0.038,0.2,25,0.015,0.1,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
231,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Total nitrogen,Nitrogen,Water quality,1.8,1.11,25,3.2,1.2,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
232,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,1.3,0.89,25,0.97,0.18,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
233,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Temperature ,Temperature,Water quality,25.5,0.81,25,23.6,1.76,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
234,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,pH,pH,Water quality,8.7,0.12,25,8.42,0.65,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
235,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Turbidity,Turbidity,Water quality,76,0.1,25,47,3.2,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
236,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Conductivity ,Conductivity,Water quality,127,1.32,25,57,2.11,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
237,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,8.4,0.88,25,4.55,0.14,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
238,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Phosphate,Phosphate,Water quality,0.15,0.18,25,0.28,0.35,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
239,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Soluble reactive phosphorus,Phosphate,Water quality,0.041,0.01,25,0.023,0,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
240,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Total nitrogen,Nitrogen,Water quality,1.9,1.43,25,2.1,1.41,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
241,Engdaw,2020,Lake Tana,Ethiopia,NA,Journal of Applied Science and Env. Management,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,1.1,0.77,25,0.74,0.13,25,"Socio-ecological impacts of water hyacinth, Eichhornia Crassipes in Lake Tana, Gulf of Gorgora, Ethiopia",,,,,,,
242,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Dissolved Oxygen,Dissolved oxygen,Water Quality,7.4,0.02,1,5.04,0.91,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
243,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Conductivity,Conductivity,Water Quality,197,1.12,1,91,2.42,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
244,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,pH,pH,Water Quality,7.59,0.34,1,7.31,0.21,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
245,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Turbidity,Turbidity,Water Quality,19.5,2.35,1,12.3,6.25,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
246,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Suspended solid,Suspended solid,Water Quality,31.2,1.23,1,1.06,0.12,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
247,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Dissolved oxygen,Dissolved oxygen,Water Quality,7.54,0.07,1,5.32,0.07,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
248,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Conductivity,Conductivity,Water Quality,1048,2.64,1,748,1.54,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
249,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,pH,pH,Water Quality,7.42,0.14,1,7.18,0.54,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
250,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Turbidity,Turbidity,Water Quality,3.76,2.89,1,7.6,4.38,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
251,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Suspended solid,Suspended solid,Water Quality,27,1.95,1,1.55,0.35,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
252,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Dissolved oxygen,Dissolved oxygen,Water Quality,7.13,0.09,1,6.08,0.1,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
253,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Conductivity,Conductivity,Water Quality,323,1.98,1,115.5,2.01,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
254,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,pH,pH,Water Quality,7.91,0.24,1,7.89,0.35,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
255,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Turbidity,Turbidity,Water Quality,5.7,1.26,1,5.57,4.21,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
256,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Suspended solid,Suspended solid,Water Quality,14,2.01,1,0.5,0.61,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
257,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Dissolved oxygen,Dissolved oxygen,Water Quality,6.93,0.1,1,4.15,0.96,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
258,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Conductivity,Conductivity,Water Quality,104,2.05,1,301,1.85,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
259,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,pH,pH,Water Quality,7.47,0.15,1,7.09,0.11,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
260,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Turbidity,Turbidity,Water Quality,28.7,8.52,1,25.9,7.16,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
261,Asmath et al.,2022,Experimental Earthen ponds,Sri Lanka,NA,Agricultural Science Digest,Observation,Suspended solid,Suspended solid,Water Quality,44,1.75,1,1.86,0.38,1,Effect of water hyacinth (Eichhornia crassipes) infestation on selected surface water quality parameters,,,,,,,
262,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,pH,pH,Water Quality,7.48,0.43,31,7.53,0.42,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
263,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Temperature,Temperature,Water Quality,31.24,1.06,31,31.19,1.38,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
264,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Conductivity,Conductivity,Water Quality,0.9,0.44,31,0.86,0.46,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
265,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Suspended solid,Suspended solid,Water Quality,0.65,0.26,31,0.66,0.33,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
266,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Salinity,Salinity,Water Quality,0.9,0.55,31,0.92,0.58,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
267,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Turbidity,Turbidity,Water Quality,3.8,2.83,31,3.38,2.84,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
268,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Dissolved oxygen,Dissolved oxygen,Water Quality,13.94,3.02,31,14.24,2.77,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
269,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,pH,pH,Water Quality,7.48,0.43,31,7.71,0.57,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
270,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Temperature,Temperature,Water Quality,31.24,1.06,31,31.53,0.95,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
271,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Conductivity,Conductivity,Water Quality,0.9,0.44,31,0.77,0.21,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
272,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Suspended solid,Suspended solid,Water Quality,0.65,0.26,31,0.56,0.2,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
273,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Salinity,Salinity,Water Quality,0.9,0.55,31,1,0.74,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
274,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Turbidity,Turbidity,Water Quality,3.8,2.83,31,2.18,2.02,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
275,Jagaveerapandian & Thamizharasu,2015,"Local pods, Tamil Nadu",India,NA,Scientific Transactions in Environment and Technovation,Observation,Dissolved oxygen,Dissolved oxygen,Water Quality,13.94,3.02,31,12.71,3,31,Effect of water chemistry on Anuran species diversity in the water hyacinth (Eichhorniacrassipes) infested ponds in Cauvery delta regions of Tamil Nadu,,,,,,,
276,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,pH,pH,Water Quality,7.05,0.11,27,7.12,0.08,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
277,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Temperature,Temperature,Water Quality,33,0.34,27,32.5,0.28,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
278,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Conductivity,Conductivity,Water Quality,3580.7,360,27,2714.9,203,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
279,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Suspended solid,Suspended solid,Water Quality,1884,201,27,1437.8,110,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
280,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Salinity,Salinity,Water Quality,1.95,0.21,27,1.45,0.11,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
281,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Sechi depth,Sechi depth,Water Quality,9,0.6,27,7.9,0.7,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
282,Leakage et al.,2020,Anawilundawa Reservoir ,Sri Lanka,NA,Sri Lanka Journal of Aquatic Science,Observation,Water depth,Water depth,Water Quality,14,0.8,27,12.4,1,27,Water quality parameters contributing to the invasion of water hyacinth (Eichhornia Crassipes) in the Anawilundawa reservoir in Sri Lanka,,,,,,,
